article_id,authors,publication_year,DOI,title,journal,section_in_doc,duplicate
911659,"Müller, Dreier, Beutel, Duven, Giralt, & Wölfling",2016,10.1016/j.chb.2015.09.007,A hidden type of internet addiction? Intense and addictive use of social networking sites in adolescents,Computers in Human Behavior,1.1,F
44523,Birgisson et al.,2023,10.1177/14034948231161382,The relationship between online communication and adolescents’ mental health: Long-term evaluation between genders,Scandinavian Journal of Public Health,1.1,F
586407,"Hunt, Xu, Fogelson & Rubens",2023,10.1521/jscp.2023.42.3.187,Follow Friends One Hour a Day: Limiting Time on Social Media and Muting Strangers...,Journal of Social and Clinical Psychology,3.1,F
10564,"McNamee, Mendolia, & Yerokhin",2021,10.1016/j.ehb.2021.100992,Social media use and emotional and behavioral outcomes in adolescence: Evidence from British longitudinal data,Economics & Human Biology,1.1,F
674245,"Ophir, Lipshits-Braziler & Rosenberg",2019,10.1177/2167702619849412,New-media screen time is not (necessarily) linked to depression,Clinical Psychological Science,1.1,F
183914,Yuen et al.,2019,10.1037/ppm0000178,The effects of Facebook on mood in emerging adults,Psychology of Popular Media Culture,3.3,F
79881,"Burnell, George, Vollet, Ehrenreich, & Underwood",2019,10.5817/CP2019-3-5,Passive social networking site use and well-being,Cyberpsychology: Journal of Psychosocial Research on Cyberspace,1.4,F
133981,Nguyen & Cheng,2022,10.1037/ppm0000427,A moderated mediation model of the relationship between passive social network usages and life satisfaction,Psychology of Popular Media,1.4,F
534278,"Gomez, Klare, Ceballos, Dailey, Kaiser & Howard",2022,10.1080/10447318.2021.1976510,Do You Dare to Compare?: The Key Characteristics of Social Media Users Who Frequently Make Online Upward Social Comparisons,International Journal of Human–Computer Interaction,1.4,F
816478,"Arenas-Arroyo, Fernández-Kranz, Nollenberger",2022,10.1016/j.jhealeco.2025.103014,High Speed Internet and the Widening Gender Gap in Adolescent Mental Health: Evidence from Hospital Records,Journal of Health Economics,3.5,F
449734,Naeemi & Tamam,2017,10.1007/s12187-016-9438-3,Emotional dependence on Facebook and psychological well-being in adolescents,Child Indicators Research,1.1,F
483115,Orben & Przybylski,2019,10.1038/s41562-018-0506-1,The association between adolescent well-being and digital technology use,Nature Human Behaviour,1.2,F
310119,"Yang, Yan, & Hussain",2022,10.1080/03623319.2022.2066880,"Smartphone distraction, problematic use and mental health in China",The Social Science Journal,1.1,F
710059,"Lapierre, Zhao, & Custer",2019,10.1016/j.jadohealth.2019.06.001,Short-Term Longitudinal Relationships Between Smartphone Use/Dependency and Psychological Well-Being Among Late Adolescents,Journal of Adolescent Health,2.1,F
397242,"McDool, Powell, Roberts, Taylor",2020,10.1016/j.jhealeco.2019.102274,The Internet and Children’s Psychological Wellbeing,Journal of Health Economics,3.5,F
384806,"Van der Wal, Valkenburg, & van Driel",2024,10.1177/20563051241248591,In Their Own Words: How Adolescents Differ in Their Social Media Use and How it Affects Them,Social Media & Society,4.3,F
808322,"Twenge, J.M.",2020,10.1176/appi.prcp.20190015,"Increases in Depression, Self-Harm, and Suicide Among U.S. Adolescents After 2012 and Links to Technology Use: Possible Mechanisms",Psychiatric Research and Clinical Practice,1.1,F
472645,"Twenge, Martin, & Campbell",2018,10.1037/emo0000403 ,Decreases in psychological well-being among American adolescents after 2012 and links to screen time during the rise of smartphone technology,Emotion,1.1,F
260139,"Einstein, Dabb, & Fraser",2023,10.1080/00049530.2023.2217961,"FoMO, but not self-compassion, moderates the link between social media use and anxiety in adolescence",Australian Journal of Psychology,1.4,F
432958,"Visier-Alfonso, López-Gil, Mesas, Jiménez-López, Cekrezi, & Martínez-Vizcaíno",2024,10.1089/cyber.2024.0064,"Does Socioeconomic Status Moderate the Association Between Screen Time, Mobile Phone Use, Social Networks, Messaging Applications, and Mental Health Among Adolescents?","Cyberpsychology, Behavior, and Social Networking",1.1,F
931739,Leggett-James & Laursen,2022,10.1177/02724316221136043,The Consequences of Social Media Use Across the Transition Into Adolescence: Body Image and Physical Activity,Journal of Early Adolescence,2.1,F
57759,"Erevik, Pallesen, Vedaa, Andreassen, Dhir, & Torsheim",2020,10.1007/s11469-020-00296-y,General and alcohol-related social media use and mental health: A large-sample longitudinal study,International Journal of Mental Health and Addiction,2.2,F
614520,Davison et al.,2022,10.1007/s12187-022-09924-6,"Less Screen Time, More Frequent Fruit and Vegetable Intake and Physical Activity are Associated with Greater Mental Wellbeing in Adolescents",Child Indicators Research,2.1,F
271043,"Vanman, Baker, & Tobin",2018,10.1080/00224545.2018.1453467,The burden of online friends: the effects of giving up Facebook on stress and well-being,Journal of Social Psychology,3.2,F
813640,"Zerhouni, Flaudias, Barré, Rodgers",2022,10.1016/j.bodyim.2022.09.011,The effects of exposure to social media images of thin and average size women on body satisfaction among young women,Body Image,3.7,F
